%H2_volume  T=25C
0.204296160878  1.24927030301
0.222120658135  1.61287395574
0.26873857404  2.26338597283
0.316727605119  2.89193332827
0.353747714808  3.26710262244
0.371572212066  3.43266226539
0.378427787934  3.53188541187
0.411334552102  3.45583377659
0.433272394881  3.56650187956
0.478519195612  3.49081229914
0.52239488117  3.15102381069
0.526508226691  3.15114449565
0.549817184644  2.82175502742
0.555301645338  2.9099355006
0.570383912249  2.93238290207
0.579981718464  2.77863027047
0.606032906764  2.64736526866
0.637568555759  2.25220250041
